"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO","2019-04-17","1997-09-10",1004,"AVELLANEDA Nº 1","Buenos Aires","Nacional","1997","","SEDAN 4 PTAS","34","PEUGEOT","06","504 GD","1","Privado","Física","GERLI","BUENOS AIRES","No identificado","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-04-23","2008-09-24",1030,"FLORENCIO VARELA Nº 1","Buenos Aires","Nacional","2008","","FURGON VIDR.C/ASIENT","37","RENAULT","UL","KANGOO CONFORT 1.6 CD SVT 1PL","1","Privado","Física","FLORENCIO VARELA","BUENOS AIRES","Masculino","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-04-10","2001-05-16",1045,"LA PLATA Nº 03","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","88","CORSA 3PTAS.SPORT","1","Privado","Física","LA PLATA","BUENOS AIRES","Femenino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-04-01","1998-04-30",1053,"LOMAS DE ZAMORA Nº 1","Buenos Aires","Nacional","1998","","FURGON 3550","29","MERCEDES BENZ","91","SPRINTER 310D /F3550","1","Privado","Física","BANFIELD","BUENOS AIRES","Masculino","1968","BOLIVIA",100,"06","BOL"
"DENUNCIA DE ROBO O HURTO","2019-04-29","1994-09-29",1065,"MORON Nº 02","Buenos Aires","Nacional","1994","","FURGON VIDRIADO","37","RENAULT","86","RENAULT TRAFIC","1","Privado","Física","MORON","BUENOS AIRES","Masculino","1986","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-04-30","1999-08-20",1113,"SAN VICENTE","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4 PUERTAS GL 1.7 DIESEL","1","Privado","Física","SAN VICENTE","BUENOS AIRES","Masculino","1974","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-04-29","2005-06-01",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Nacional","2005","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","PABLO PODESTA","BUENOS AIRES","Femenino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-04-29","1990-05-03",1123,"SAN MARTIN Nº 3","Buenos Aires","Nacional","1990","","SEDAN","19","FORD","33","ESCORT","1","Privado","Física","V.BALLESTER","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-04-16","1999-07-23",1124,"LANUS Nº 9","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","55","CORSA 4 PUERTAS GL A/A Y D/P","1","Privado","Física","LANÚS OESTE","BUENOS AIRES","Masculino","1993","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-04-10","1994-06-01",1140,"SAN ISIDRO Nº 04","Buenos Aires","Nacional","1994","","BERLINA 5 PUERTAS","37","RENAULT","90","RENAULT 19 RN BIC","1","Privado","Física","BECCAR","BUENOS AIRES","Masculino","1962","ARGENTINA",100,"06","ARG"
