"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"DENUNCIA DE ROBO O HURTO","2019-03-21","2002-12-13",1001,"ADROGUE Nº 1","Buenos Aires","Nacional","2002","","BERLINA 4 PUERTAS","37","RENAULT","FE","MEGANE RN TRI AA 16V F2","1","Privado","Física","MINISTRO RIVADAVIA","BUENOS AIRES","Masculino","1953","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-20","1987-10-21",1014,"BRANDSEN","Buenos Aires","Nacional","1987","","BERLINA 5 PUERTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","JEPPENER","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-28","1996-01-11",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","1996","","BERLINA 4 PTAS","37","RENAULT","90","RENAULT 19 RN INYEC.TRI","1","Privado","Física","LUIS GUILLON","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-01","1988-11-17",1059,"MAR DEL PLATA Nº 02","Buenos Aires","Nacional","1988","","BERLINA 5 PTAS","37","RENAULT","42","RENAULT 11 GTL","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1998","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-19","2000-04-17",1065,"MORON Nº 02","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","75","CORSA 4 P GL SUPER 1.6L","1","Privado","Física","MORÓN","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-01","2002-06-26",1089,"SAN MARTIN Nº 2","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","79","CORSA WIND 1.6 M.P.F.I.5P","1","Privado","Física","VILLA BALLESTER","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-20","2000-12-22",1090,"SAN MIGUEL Nº 1","Buenos Aires","Nacional","2000","","BERLINA 4 PTAS","37","RENAULT","FC","MEGANE RN TD TRI AA F2","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","No identificado","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-07","2011-08-03",1100,"TRES DE FEBRERO Nº 1","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","CASEROS","BUENOS AIRES","Masculino","1977","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-19","1992-06-05",1107,"LANUS Nº 2","Buenos Aires","Nacional","1992","","COUPE 2 PUERTAS","37","RENAULT","52","RENAULT FUEGO MAX","1","Privado","Física","LANUS OESTE","BUENOS AIRES","No identificado","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-13","1988-09-19",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Nacional","1988","","SEDAN","19","FORD","33","ESCORT","1","Privado","Física","CDAD","BUENOS AIRES","Femenino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-15","2009-04-13",1119,"MORON Nº 03","Buenos Aires","Nacional","2009","","FURGON 600 VIDRIADO","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","EL PALOMAR","BUENOS AIRES","No identificado","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-25","1999-08-12",1119,"MORON Nº 03","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","71","CORSA 4P GL SUPER 1.6L","1","Privado","Física","HAEDO-MORON","BUENOS AIRES","No identificado","1962","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-28","2008-08-28",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","No identificado","1996","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-22","1997-09-04",1124,"LANUS Nº 9","Buenos Aires","Nacional","1997","","FURG VIDR CON ASIEN","37","RENAULT","37","TRAFIC CORTO DIESEL","1","Privado","Física","LANUS","BUENOS AIRES","Masculino","1952","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-21","2000-07-05",1133,"SAN MIGUEL Nº 3","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","61","CORSA 4 PTAS.WIND 1.7D","1","Privado","Física","BELLA VISTA","BUENOS AIRES","Masculino","1980","PARAGUAY",50,"06","PRY"
"DENUNCIA DE ROBO O HURTO","2019-03-20","2008-03-28",1146,"MERLO Nº 2","Buenos Aires","Nacional","2008","","FOURGON COURT TYPE 6","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","","BUENOS AIRES","No identificado","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-28","1997-11-04",1146,"MERLO Nº 2","Buenos Aires","Nacional","1997","","FURGON VID.C/ASIENTO","37","RENAULT","BN","TRAFIC LARGO DIESEL C/DA.","1","Privado","Física","MERLO","BUENOS AIRES","No identificado","1960","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-25","1990-04-25",1150,"AVELLANEDA Nº 3","Buenos Aires","Nacional","1990","","SEDAN","19","FORD","33","ESCORT","1","Privado","Física","SARANDI","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-27","2000-09-29",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2000","","FURGON VIDRIADO C/AS","37","RENAULT","EF","KANGOO RL EXPRESS DIE DA","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1945","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-18","2000-02-02",1154,"LA MATANZA Nº 06","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","75","CORSA 4 PTAS. GL SUPER 1.6L","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1984","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-18","1992-12-07",1156,"HURLINGHAM Nº 1 (EX. MORON Nº 4)","Buenos Aires","Protocolo 21","1992","","4 PTAS.","058","HYUNDAI","016","ELANTRA GLS","1","Privado","Física","WILLIAM C. MORRIS","BUENOS AIRES","Masculino","1993","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO","2019-03-18","1994-07-12",1161,"ESTEBAN ECHEVERRIA Nº 2","Buenos Aires","Importado","1994","","SEDAN","","PEUGEOT","","405 GLD EMBASSY","1","Privado","Física","LUIS GUILLON","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-15","1998-09-28",1171,"ESCOBAR Nº 1","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6MPFI 4 PTAS","1","Privado","Física","ING MASCHITZ.- ESCOBAR","BUENOS AIRES","No identificado","1962","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-01","2005-12-28",1174,"LA MATANZA Nº 07","Buenos Aires","Importado","1997","","AUTOMOTOR","044","FIAT","042","UNO CS","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Femenino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-27","2009-02-05",1178,"LA MATANZA Nº 08","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DM","PARTNER FURGON 1.4 N PRESENCE","1","Privado","Física","LAFERRERE","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-14","1997-08-22",1183,"OLIVOS Nº 06","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS","37","RENAULT","BV","CLIO RN 5 PTAS A.A.","1","Privado","Física","V. MARTELLI","BUENOS AIRES","Masculino","1990","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-03-19","1999-08-25",1185,"ADROGUE Nº 3","Buenos Aires","Nacional","1999","","S.WAGON","08","CHEVROLET","56","CORSA WAGON GLS 16V","1","Privado","Física","BURZACO","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
