"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO","2019-08-30","2005-03-21",1223,"EZEIZA Nº 1 (EX. ESTEBAN ECHEVERRIA NO 4)","Buenos Aires","Nacional","2005","","BERLINA 4 PTAS","37","RENAULT","NG","MEGANE PRIVILEGE TD TRIC","1","Privado","Física","EZEIZA","BUENOS AIRES","Femenino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-26","2010-09-28",1224,"MERLO Nº 3","Buenos Aires","Nacional","2010","","FURGON VIDRIADO C/AS","37","RENAULT","UT","KANGOO GRAND CONFORT 1.5 DCI 2P","1","Privado","Física","LIBERTAD","BUENOS AIRES","Masculino","1961","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-02","1989-11-21",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","","","BERLINA 4 PTAS.","37","RENAULT","66","RENAULT 18 GXE","1","Privado","Física","G. CATAN","BUENOS AIRES","Masculino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-16","2000-01-08",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2000","","S.WAGON","08","CHEVROLET","56","CORSA WAGON GLS 16V","1","Privado","Física","G. CATAN - LA MATANZA","BUENOS AIRES","No identificado","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-06","2009-10-30",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON 1.9 D PLC CONFORT","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","No identificado","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-13","1996-05-24",1234,"ADROGUE Nº 4","Buenos Aires","Nacional","1996","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN INYEC (BIC)","1","Privado","Física","ADROGUE","BUENOS AIRES","Masculino","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-26","1988-07-25",1234,"ADROGUE Nº 4","Buenos Aires","Nacional","1988","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","CLAYPOLE","BUENOS AIRES","Femenino","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-08","2004-12-23",1237,"LOMAS DE ZAMORA Nº 7","Buenos Aires","Nacional","2004","","FOURGON COURT TYPE 600","07","CITROEN","19","BERLINGO FURGON 1.9D PACK","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-21","2000-09-20",1242,"MAR DEL PLATA Nº 11","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 PUERTAS 1.0 N","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-29","1998-12-15",1255,"LOMAS DE ZAMORA Nº 8","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","52","CORSA GL 1.6 MPFI 4P C/AA","1","Privado","Física","TEMPERLEY","BUENOS AIRES","No identificado","1956","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-05","1996-08-06",1259,"SAN MARTIN Nº 8","Buenos Aires","Nacional","1996","","BREAK 4 PUERTAS","37","RENAULT","60","R21 RN BREAK M2100","1","Privado","Física","SAN MARTIN","BUENOS AIRES","Femenino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-12","2010-02-05",1259,"SAN MARTIN Nº 8","Buenos Aires","Nacional","2010","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON DPLC CONFORT","1","Privado","Física","V.BALLESTER, SAN MARTIN","BUENOS AIRES","Femenino","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-13","2009-03-19",1260,"FLORENCIO VARELA Nº 3","Buenos Aires","Nacional","2009","","FURGON VIDRIADO C/AS","07","CITROEN","20","BERLINGO FURGON 1.9D FULL","1","Privado","Física","FCIO.VARELA","BUENOS AIRES","No identificado","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-08-05","2006-06-28",1266,"MALVINAS ARGENTINAS Nº 3","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","GRAND BOURG","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
