"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-11-25","2000-07-20",1044,"LA PLATA Nº 02","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","79","CORSA WIND 1.6 M.P.F.I.5P","1","Privado","Física","SAN LORENZO","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-11-14","2006-07-28",1052,"LOBOS","Buenos Aires","Nacional","2006","","FURGON VIDRIADO","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","SDOR MARIA","BUENOS AIRES","Masculino","1974","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-11-01","2008-07-08",1091,"MONTE","Buenos Aires","Protocolo 21","2008","","CHAS C/CAB C/PLATO","047","FORD","745","CARGO 1722E","1","Privado","Física","MONTE","BUENOS AIRES","Masculino","1960","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-11-06","1995-08-24",1113,"SAN VICENTE","Buenos Aires","Nacional","1995","","BERLINA 4 PTAS","37","RENAULT","AJ","RENAULT 19 RN INYEC.(TRI)","1","Privado","Física","GUERNICA , SAN VICENTE","BUENOS AIRES","Masculino","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-11-25","2007-08-24",1114,"CAÑUELAS","Buenos Aires","Protocolo 21","2007","","CAMION C/PL. HID. P/TRA.AUT","063","IVECO","242","DAILY 50.13 PASO 3600","1","Privado","Física","CAÑUELAS","BUENOS AIRES","Masculino","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-11-27","2000-11-23",1119,"MORON Nº 03","Buenos Aires","Nacional","2000","","PICK UP","37","RENAULT","DN","RODEO S/CAJA C/DA (F8Q)","1","Privado","Física","HAEDO","BUENOS AIRES","Femenino","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-11-05","2008-10-16",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","No identificado","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-11-25","1996-02-01",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","1996","","FURGON VIDRIADO","37","RENAULT","72","RENAULT TRAFIC","1","Privado","Física","ISIDRO CASANOVA","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-11-27","2007-06-25",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","GREGORIO DE LA FERRERE","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-11-05","2004-06-30",1128,"SAN MIGUEL Nº 2","Buenos Aires","Nacional","2004","","FURGON VIDRIADO C/ASIENTOS","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","Masculino","1975","ARGENTINA",50,"06","ARG"
