"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO","2019-07-26","1998-11-12",1046,"LA PLATA Nº 04","Buenos Aires","Nacional","1998","","BERLINA 4 PTAS","37","RENAULT","CW","RENAULT 19 RE DIESEL","1","Privado","Física","ANGEL ETCHEVERRY","BUENOS AIRES","Masculino","1956","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-03","2011-09-09",1059,"MAR DEL PLATA Nº 02","Buenos Aires","Protocolo 21","2011","","FURGON VIDRIADO C/ASIENTOS","112","RENAULT","727","MASTER PH3 DCI 120 L1H1 PKCNF","1","Privado","Jurídica","MAR DEL PLATA","BUENOS AIRES","No aplica","1999","No aplica",100,"06",""
"DENUNCIA DE ROBO O HURTO","2019-07-22","2001-01-02",1061,"MERCEDES Nº 1","Buenos Aires","Nacional","2000","","BERLINA 4 PUERTAS","37","RENAULT","EW","MEGANE RN TRI AA F2","1","Privado","Física","MERCEDES","BUENOS AIRES","Masculino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-02","2009-11-16",1064,"MORENO Nº 1","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON 1.9 D PLC CONFORT","1","Privado","Física","LA REJA","BUENOS AIRES","No identificado","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-10","2009-01-07",1064,"MORENO Nº 1","Buenos Aires","Nacional","2009","","FURGON 600","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","MORENO","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-03","1993-10-29",1065,"MORON Nº 02","Buenos Aires","Nacional","1993","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","CASTELAR","BUENOS AIRES","Masculino","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-22","1998-06-02",1074,"PILAR Nº 1","Buenos Aires","Nacional","1998","","SEDAN 3 PUERTAS","37","RENAULT","BS","CLIO RN 3PTAS PACK AA.","1","Privado","Física","PILAR","BUENOS AIRES","Femenino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-24","2010-06-23",1077,"QUILMES Nº 1","Buenos Aires","Nacional","2010","","FURGON VIDRIADO C/AS","07","CITROEN","76","BERLINGO FURGON 1.6 HDI PLC","1","Privado","Física","BERNAL","BUENOS AIRES","Masculino","1956","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-30","2007-10-02",1091,"MONTE","Buenos Aires","Protocolo 21","2007","","TRACTOR DE CARRETERA","092","MERCEDES BENZ","167","OF-1418","1","Privado","Física","SAN MIGUEL DEL MONTE","BUENOS AIRES","No identificado","1962","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-15","1993-05-10",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","1993","","BREAK 4 PTAS","37","RENAULT","10","RENAULT 18 TX BREAK","1","Privado","Física","R MEJIA","BUENOS AIRES","No identificado","1965","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-15","2001-05-31",1114,"CAÑUELAS","Buenos Aires","Nacional","2001","","SEDAN","08","CHEVROLET","67","CORSA 4P GL. 1.7 DIESEL A","1","Privado","Física","CAÑUELAS","BUENOS AIRES","Masculino","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-02","1996-05-20",1115,"MORON Nº 01","Buenos Aires","Protocolo 21","1994","","COUPE","","MITSUBISHI","","3000 GT","1","Privado","Física","MORON","BUENOS AIRES","No identificado","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-26","1994-11-04",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Importado","1994","","RURAL","044","FIAT","295","ELBA SCL","1","Privado","Física","C.JARDIN - TRES DE FEBRERO","BUENOS AIRES","No identificado","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-16","1993-10-29",1118,"QUILMES Nº 2","Buenos Aires","Nacional","1993","","RURAL 4 PTAS","37","RENAULT","64","R21TXE BREAK NEVADA","1","Privado","Física","BERNAL","BUENOS AIRES","Masculino","1971","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-03","1994-06-28",1120,"LA MATANZA Nº 03","Buenos Aires","Importado","1994","","BERLINA 5 PTAS","112","RENAULT","001","CLIO RT","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","Masculino","1996","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-04","2004-06-15",1130,"GENERAL RODRIGUEZ Nº 1","Buenos Aires","Nacional","2004","","MINIBUS","29","MERCEDES BENZ","BP","SPRINTER 413 CDI/C 4025","1","Privado","Física","GENERAL RODRIGUEZ","BUENOS AIRES","Masculino","1949","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-03","2006-07-28",1133,"SAN MIGUEL Nº 3","Buenos Aires","Nacional","2006","","RURAL 5 PTAS","04","VOLKSWAGEN","27","GOL COUNTRY 1.6","1","Privado","Física","BELLA VISTA-SAN MIGUEL","BUENOS AIRES","No identificado","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-25","2011-05-27",1133,"SAN MIGUEL Nº 3","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KG","PARTNER CONFORT 1.6 HDI","1","Privado","Física","BELLA VISTA","BUENOS AIRES","Femenino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-24","1992-01-27",1135,"LANUS Nº 4","Buenos Aires","Nacional","1992","","CHASIS C/CABINA P/CA","29","MERCEDES BENZ","50","L 1215/48","1","Privado","Física","LANÚS ESTE","BUENOS AIRES","No identificado","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-29","2006-01-17",1152,"LA MATANZA Nº 04","Buenos Aires","Nacional","2006","","FOURGON COURT TYPE 600","07","CITROEN","19","BERLINGO FURGON 1.9D PACK","1","Privado","Física","CIUDAD EVITA","BUENOS AIRES","Femenino","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-05","1998-03-17",1175,"LANUS Nº 5","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS","1","Privado","Física","MTE. CHINGOLO-LANUS","BUENOS AIRES","Masculino","1962","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-16","2001-02-02",1185,"ADROGUE Nº 3","Buenos Aires","Nacional","2001","","RURAL 3 PTAS","34","PEUGEOT","05","PARPANDAA","1","Privado","Física","LONGCHAMPS","BUENOS AIRES","Masculino","1969","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-29","2007-08-01",1200,"SAN MARTIN Nº 6","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","SAN MARTIN","BUENOS AIRES","No identificado","1990","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-01","2001-07-05",1203,"MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4)","Buenos Aires","Nacional","2001","","CHASISC/CAB C/TANQUE","67","IVECO","03","160E23N","1","Privado","Física","INGENIERO ADOLFO SORDEAUX","BUENOS AIRES","Masculino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-24","1986-06-17",1203,"MALVINAS ARGENTINAS Nº 1 (EX. SAN MIGUEL NRO. 4)","Buenos Aires","Nacional","1986","","RURAL 4 PTAS","37","RENAULT","17","12 GTS BREAK","1","Privado","Física","VILLA DE MAYO","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-01","1998-01-29",1206,"OLIVOS Nº 07","Buenos Aires","Importado","1998","","FURGON VIDRIADO C/ASIENTOS","044","FIAT","036","DUCATO 1.9D P.C. 10","1","Privado","Física","VTE. LOPEZ","BUENOS AIRES","Masculino","1949","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-30","1999-09-29",1218,"MORON Nº 04 (EX. MORON Nº 9)","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PTAS.WIND 1.6 LTS","1","Privado","Física","MORON","BUENOS AIRES","Masculino","1964","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-31","1998-03-17",1223,"EZEIZA Nº 1 (EX. ESTEBAN ECHEVERRIA NO 4)","Buenos Aires","Nacional","1998","","FURGON VIDRIADO","37","RENAULT","CY","TRAFIC CORTO DIESEL","1","Privado","Física","EZEIZA","BUENOS AIRES","No identificado","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-16","1997-04-24",1225,"SAN MARTIN Nº 7","Buenos Aires","Nacional","1997","","BERLINA 5PTAS","37","RENAULT","00","CLIO RT 5PTAS.AA.DA.","1","Privado","Física","BILLINGHURST","BUENOS AIRES","Masculino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-30","2000-11-09",1226,"LA MATANZA Nº 09","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 PTAS WIND 1.6 MPFI","1","Privado","Física","GONZÁLEZ CATÁN","BUENOS AIRES","No identificado","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-07-25","1994-01-07",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","1994","","SEDAN 5 PUERTAS","37","RENAULT","90","RENAULT 19 RN -BIC-","1","Privado","Física","GREGORIO DE LAFERRERE","BUENOS AIRES","Femenino","1972","ARGENTINA",100,"06","ARG"
