"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"COMUNICACIÓN DE RECUPERO","2019-01-15","2013-01-28",2021,"CAPITAL FEDERAL Nº 021","Ciudad Autónoma de Bs.As.","Nacional","2013","20","PICK-UP","68","TOYOTA","50","HILUX 4X2 CABINA DOBLE DX PACK 2.5 TDI","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2004","No aplica",100,"02",""
"DENUNCIA DE ROBO O HURTO","2019-01-21","1994-12-29",2022,"CAPITAL FEDERAL Nº 022","Ciudad Autónoma de Bs.As.","Importado","1994","02","SEDAN 4 PTAS","","HONDA","","ACCORD EX","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1943","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-28","2010-03-02",2024,"CAPITAL FEDERAL Nº 024","Ciudad Autónoma de Bs.As.","Nacional","2010","17","SEDAN 5 PTAS","53","VOLKSWAGEN","LW","SURAN 90A","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Femenino","1950","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-30","2005-03-23",2024,"CAPITAL FEDERAL Nº 024","Ciudad Autónoma de Bs.As.","Nacional","2005","17","SEDAN 5 PTAS","34","PEUGEOT","CJ","206 XR CONFORT 1.4 5P","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1938","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-07","2010-02-23",2025,"CAPITAL FEDERAL Nº 025","Ciudad Autónoma de Bs.As.","Nacional","2010","17","SEDAN 5 PTAS","53","VOLKSWAGEN","LW","SURAN 90A","2","Público","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1977","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-14","2003-12-10",2025,"CAPITAL FEDERAL Nº 025","Ciudad Autónoma de Bs.As.","Nacional","2003","18","SEDAN 3 PTAS","08","CHEVROLET","AM","CORSA CLASSIC 3P BASE 1.6N","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1978","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-14","2001-09-27",2025,"CAPITAL FEDERAL Nº 025","Ciudad Autónoma de Bs.As.","Nacional","2001","20","PICK-UP","68","TOYOTA","04","HILUX 4X2 CABINA DOBLE DLX","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","2004","No aplica",100,"02",""
"DENUNCIA DE ROBO O HURTO","2019-01-22","2012-10-10",2025,"CAPITAL FEDERAL Nº 025","Ciudad Autónoma de Bs.As.","Nacional","2012","12","SEDAN 4 PTAS","17","FIAT","AZ","SIENA (F4) EL 1.4 8V","2","Público","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No identificado","1990","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-24","1994-05-10",2025,"CAPITAL FEDERAL Nº 025","Ciudad Autónoma de Bs.As.","Protocolo 21","1994","","UTILITARIO","","RENAULT","","TRAFIC/1994","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1953","Uruguay",100,"02","URY"
"DENUNCIA DE ROBO O HURTO","2019-01-24","2005-09-21",2025,"CAPITAL FEDERAL Nº 025","Ciudad Autónoma de Bs.As.","Nacional","2005","17","SEDAN 5 PTAS","34","PEUGEOT","CK","206 XR PREMIUM 1.6 5P /2005","1","Privado","Física","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","Masculino","1984","Argentina",100,"02","ARG"
"DENUNCIA DE ROBO O HURTO","2019-01-28","2001-01-10",2025,"CAPITAL FEDERAL Nº 025","Ciudad Autónoma de Bs.As.","Protocolo 21","2001","02","SEDAN 4 PTAS","130","-130- TOYOTA","470","-470- COROLLA 1.8 XE I /2001","1","Privado","Jurídica","C.AUTONOMA DE BS.AS","C.AUTONOMA DE BS.AS","No aplica","1998","No aplica",100,"02",""
