"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_indec_id","titular_pais_nacimiento_indec_id"
"DENUNCIA DE ROBO O HURTO","2019-02-12","2000-06-12",1005,"AVELLANEDA Nº 2","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","VILLA DOMÍNICO","BUENOS AIRES","No identificado","1995","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-18","1995-02-06",1053,"LOMAS DE ZAMORA Nº 1","Buenos Aires","Nacional","1995","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","BANFIELD","BUENOS AIRES","No identificado","1982","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-04","2006-10-19",1074,"PILAR Nº 1","Buenos Aires","Nacional","2006","","FURGON COURT TYPE 60","07","CITROEN","39","BERLINGO FURGON 1.9D PLC","1","Privado","Física","PILAR","BUENOS AIRES","Femenino","1968","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-07","2003-06-26",1077,"QUILMES Nº 1","Buenos Aires","Importado","1999","","AUTOMOTOR","136","VOLKSWAGEN","052","VW GOL GL 1.8","1","Privado","Física","BERNAL","BUENOS AIRES","Femenino","1968","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-08","1994-04-25",1078,"LA MATANZA Nº 01","Buenos Aires","Nacional","1994","","FURGON LARGO","37","RENAULT","86","RENAULT TRAFIC","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Femenino","1962","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-25","1999-01-07",1078,"LA MATANZA Nº 01","Buenos Aires","Importado","1999","","FAMILIAR","136","VOLKSWAGEN","177","CADDY","1","Privado","Física","SAN JUSTO","BUENOS AIRES","Masculino","1975","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-13","1995-06-01",1086,"SAN FERNANDO Nº 1","Buenos Aires","Nacional","1995","","BERLINA","37","RENAULT","AP","R21 RN SEDAN M2100 DIESEL","1","Privado","Física","SAN FERNANDO","BUENOS AIRES","No identificado","1953","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO","2019-02-05","2006-07-28",1090,"SAN MIGUEL Nº 1","Buenos Aires","Nacional","2006","","FURGON VID.C/ASIENTOS","37","RENAULT","PE","KANGOO EXPRESS GRAND CONFORT 1.9","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","No identificado","1970","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-22","2005-10-07",1100,"TRES DE FEBRERO Nº 1","Buenos Aires","Nacional","2005","","FAMILIAR","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","CASEROS","BUENOS AIRES","Masculino","1985","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-07","2007-05-15",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","2007","","FURGON VID C/ASIENTO","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","RAMOS MEJIA - LA MATANZA","BUENOS AIRES","No identificado","1977","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-28","1996-12-18",1112,"NAVARRO","Buenos Aires","Nacional","1996","","BERLINA 4 PTAS","37","RENAULT","AY","RENAULT 19 RL (TRI)","1","Privado","Física","NAVARRO","BUENOS AIRES","Masculino","1966","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-18","2007-10-10",1113,"SAN VICENTE","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DS","PARTNER FURGON 1.9 D PRESENCE","1","Privado","Física","GUERNICA","BUENOS AIRES","Masculino","1984","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-21","1987-08-12",1113,"SAN VICENTE","Buenos Aires","Nacional","1987","","BERLINA 5 PTAS","37","RENAULT","20","11 TS","1","Privado","Física","A.KORN","BUENOS AIRES","Masculino","1985","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-27","2006-11-08",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","CDAD.JARDIN PALOMAR 3 DE FEBRERO","BUENOS AIRES","No identificado","1952","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO","2019-02-28","2000-05-18",1118,"QUILMES Nº 2","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","BERNAL","BUENOS AIRES","Masculino","1987","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-08","2001-05-31",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2001","","FURGON VIDRIADO","37","RENAULT","EE","KANGOO RL EXPRESS DIE DA AA","1","Privado","Física","LA TABLADA","BUENOS AIRES","Masculino","1971","Argentina",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-21","1998-09-22",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS","1","Privado","Física","TABLADA","BUENOS AIRES","No identificado","1946","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-06","1980-03-06",1130,"GENERAL RODRIGUEZ Nº 1","Buenos Aires","Nacional","1980","","COUPE 2 PUERTAS","19","FORD","21","TAUNUS VERSION GT","1","Privado","Física","GENERAL RODRIGUEZ","BUENOS AIRES","Masculino","1947","Paraguay",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO","2019-02-15","1989-07-27",1135,"LANUS Nº 4","Buenos Aires","Nacional","1989","","SEDAN","19","FORD","33","ESCORT","1","Privado","Física","LANUS ESTE","BUENOS AIRES","Masculino","1990","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-20","1999-12-20",1136,"ADROGUE Nº 2","Buenos Aires","Nacional","1999","","5 PTAS.","08","CHEVROLET","80","CORSA GL 1.6 MPFI 5P (AA DP)","1","Privado","Física","ADROGUÉ","BUENOS AIRES","Masculino","1979","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-19","2010-02-26",1146,"MERLO Nº 2","Buenos Aires","Nacional","2010","","FURGON VIDRIADO C/AS","37","RENAULT","WA","KANGOO CONFORT 1.5 DCICDAADASVT1P(600KG)","1","Privado","Física","MERLO - PARTIDO: MERLO","BUENOS AIRES","No identificado","1957","Argentina",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-02-26","2000-05-22",1146,"MERLO Nº 2","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","57","CORSA 4 PTAS WIND 1.6 MPFI","1","Privado","Física","MARIANO ACOSTA - MERLO - BS.AS.","BUENOS AIRES","No identificado","1960","No identificado",100,"06",""
