"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO","2019-06-05","1997-09-11",1004,"AVELLANEDA Nº 1","Buenos Aires","Nacional","1997","","BERLINA 3 PTAS.","37","RENAULT","BT","CLIO RN 3PTAS PACK","1","Privado","Física","VILLA DOMINICO","BUENOS AIRES","Femenino","1987","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-06-04","1995-05-26",1047,"LANUS Nº 1","Buenos Aires","Protocolo 21","1994","","SEDAN","092","MERCEDES BENZ","002","C 280","1","Privado","Física","LANUS","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-06-06","2008-02-12",1047,"LANUS Nº 1","Buenos Aires","Nacional","2008","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","LANUS OESTE","BUENOS AIRES","Femenino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-06-04","1997-09-24",1074,"PILAR Nº 1","Buenos Aires","Nacional","1997","","BERLINA 5 PTAS","37","RENAULT","BC","CLIO RT 5PTAS.AA.DA.","1","Privado","Física","PILAR","BUENOS AIRES","Masculino","1958","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-06-03","1994-08-03",1088,"SAN MARTIN Nº 1","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS","37","RENAULT","AE","RENAULT 11 RN","1","Privado","Física","VILLA BALLESTER","BUENOS AIRES","Femenino","1981","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-06-03","2005-01-21",1100,"TRES DE FEBRERO Nº 1","Buenos Aires","Nacional","2005","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","JOSÉ INGENIEROS","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-06-12","2000-08-18",1106,"LA MATANZA Nº 02","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","77","CORSA 3 DOOR WIND 1.6 MPFI","1","Privado","Física","RAMOS MEJIA","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-06-21","2000-01-13",1113,"SAN VICENTE","Buenos Aires","Nacional","2000","","S.WAGON","08","CHEVROLET","66","CORSA WAGON 5 PTAS. GLS 1.7D","1","Privado","Física","SAN VICENTE","BUENOS AIRES","Masculino","1954","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-06-18","1999-09-03",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","61","CORSA 4PTAS. WIND 1.7 D","1","Privado","Física","LA TABLADA MATANZA","BUENOS AIRES","No identificado","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-06-12","2000-04-25",1123,"SAN MARTIN Nº 3","Buenos Aires","Nacional","2000","","BERLINA 3 PTAS","37","RENAULT","EL","CLIO RL DIESEL 3 PTAS DA","1","Privado","Física","J.L.SUAREZ","BUENOS AIRES","Femenino","1980","ARGENTINA",100,"06","ARG"
