"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"COMUNICACIÓN DE RECUPERO","2019-10-15","2007-11-26",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","2007","","FURGON VIDRIADO CON","34","PEUGEOT","EP","PARTNER FURGON D PLC PRESENCE","1","Privado","Física","MONTE GRANDE -E. ECHEVERRIA","BUENOS AIRES","No identificado","1979","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-31","1993-10-13",1056,"MAGDALENA","Buenos Aires","Importado","1993","","SEDAN","044","FIAT","281","DUNA WE","1","Privado","Física","C.AUTONOMA DE BS.AS","BUENOS AIRES","Femenino","1971","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-04","2006-01-31",1058,"MAR DEL PLATA Nº 01","Buenos Aires","Nacional","2006","","F.VIDRIADO C/ASIENTO","37","RENAULT","NP","KANGOO RL EXPRESS DIE 1PCL AA","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1976","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-01","1993-09-09",1062,"MERLO Nº 1","Buenos Aires","Nacional","1993","","BERLINA 5 PTAS","37","RENAULT","20","RENAULT 11 TS","1","Privado","Física","LIBERTAD","BUENOS AIRES","Masculino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-21","1994-05-13",1062,"MERLO Nº 1","Buenos Aires","Nacional","1994","","BERLINA 5 PTAS.","37","RENAULT","90","R.19 RN (BIC)","1","Privado","Física","PONTEVEDRA","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-29","2007-06-06",1062,"MERLO Nº 1","Buenos Aires","Nacional","2007","","FURGON 600","34","PEUGEOT","DT","PARTNER FURGON D PLC CONFORT","1","Privado","Física","MARIANO ACOSTA","BUENOS AIRES","Masculino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-30","1997-08-07",1065,"MORON Nº 02","Buenos Aires","Nacional","1997","","BERLINA 3 PTAS","37","RENAULT","BS","CLIO RN 3PTAS PACK AA.","1","Privado","Física","MORON","BUENOS AIRES","Masculino","1975","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-30","1993-12-15",1082,"SALADILLO","Buenos Aires","Nacional","1993","","FURGON LARGO","37","RENAULT","86","RENAULT TRAFIC/1993","1","Privado","Física","SALADILLO","BUENOS AIRES","Masculino","1970","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-18","1998-07-16",1088,"SAN MARTIN Nº 1","Buenos Aires","Importado","1998","","FURGONETA VID.C/ASIENTOS","104","PEUGEOT","302","PARTNER","1","Privado","Física","VILLA BALLESTER","BUENOS AIRES","Masculino","1957","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-18","1995-11-15",1114,"CAÑUELAS","Buenos Aires","Nacional","1995","","CHASIS C/CABINA P/CAMION","29","MERCEDES BENZ","40","BM384 VERSION 1215","1","Privado","Física","CAÑUELAS","BUENOS AIRES","Masculino","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-04","2008-04-24",1118,"QUILMES Nº 2","Buenos Aires","Nacional","2008","","SEMIRREMOLQUE BATEA","AS","PETINARI","30","SEM B 3 E","1","Privado","Jurídica","BERNAL","BUENOS AIRES","No aplica","2006","No aplica",100,"06",""
"COMUNICACIÓN DE RECUPERO","2019-10-21","2000-09-20",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2000","","SEDAN 3 PTAS","08","CHEVROLET","77","CORSA 3 PUERTAS 1.0 N","1","Privado","Física","LOMAS DEL MIRADOR","BUENOS AIRES","Masculino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-07","2007-11-14",1133,"SAN MIGUEL Nº 3","Buenos Aires","Nacional","2007","","FURGON VID C/ASIENTO","37","RENAULT","TE","KANGOO EXP CONFORT 1.9 AA","1","Privado","Física","SAN MIGUEL","BUENOS AIRES","Masculino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-04","1999-04-22",1134,"LANUS Nº 3","Buenos Aires","Nacional","1999","","BERLINA 3 PTAS.","37","RENAULT","CA","CLIO RL 3PTAS.","1","Privado","Física","LANUS","BUENOS AIRES","Femenino","1960","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-11","1999-08-09",1146,"MERLO Nº 2","Buenos Aires","Nacional","1999","","FURGON VIDRIADO C/AS","34","PEUGEOT","84","PARTNER 1.9D","1","Privado","Física","MERLO","BUENOS AIRES","No identificado","1974","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-10-31","1999-08-06",1146,"MERLO Nº 2","Buenos Aires","Nacional","1999","","BERLINA 3 PTAS","37","RENAULT","CC","CLIO RL DIESEL 3 PTAS","1","Privado","Física","MERLO","BUENOS AIRES","No identificado","1955","ARGENTINA",100,"06","ARG"
