"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO","2019-05-31","1995-03-20",1029,"ESTEBAN ECHEVERRIA Nº 1","Buenos Aires","Nacional","1995","","BERLINA 5 PTAS","37","RENAULT","AH","RENAULT 19 RN INYEC.(BIC)","1","Privado","Física","LUIS GUILLON","BUENOS AIRES","No identificado","1981","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-24","2011-01-12",1044,"LA PLATA Nº 02","Buenos Aires","Nacional","2011","","FURGON 800","34","PEUGEOT","KE","PARTNER CONFORT 1.4","1","Privado","Física","EL PELIGRO","BUENOS AIRES","No identificado","1952","ARGENTINA",50,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-16","1993-06-28",1053,"LOMAS DE ZAMORA Nº 1","Buenos Aires","Nacional","1993","","BERLINA 4 PTAS","37","RENAULT","54","RENAULT 18 GTD","1","Privado","Física","LOMAS DE ZAMORA","BUENOS AIRES","No identificado","1967","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO","2019-05-02","2002-09-09",1059,"MAR DEL PLATA Nº 02","Buenos Aires","Nacional","2002","","FOURG COURT TYPE 600","34","PEUGEOT","01","PARFUN6","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Femenino","1983","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-23","1998-01-06",1059,"MAR DEL PLATA Nº 02","Buenos Aires","Importado","1998","","FURGON VIDRIADO C/ASIENTOS","047","FORD","224","TRANSIT 120-S-","1","Privado","Física","MAR DEL PLATA","BUENOS AIRES","Masculino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-17","1992-04-10",1062,"MERLO Nº 1","Buenos Aires","Nacional","1992","","RURAL 4 PTAS","37","RENAULT","74","RENAULT 18 TS BREAK","1","Privado","Física","LIBERTAD","BUENOS AIRES","Masculino","1957","PARAGUAY",100,"06","PRY"
"DENUNCIA DE ROBO O HURTO","2019-05-23","2000-03-31",1062,"MERLO Nº 1","Buenos Aires","Nacional","2000","","COMBI 3550","29","MERCEDES BENZ","93","SPRINTER 310 D/3550","1","Privado","Física","MERLO","BUENOS AIRES","Masculino","1995","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-28","1986-02-14",1062,"MERLO Nº 1","Buenos Aires","Nacional","1996","","BERLINA 5 PTAS","37","RENAULT","19","RENAULT 11 TL","1","Privado","Física","MERLO","BUENOS AIRES","Femenino","1949","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-02","1999-11-22",1065,"MORON Nº 02","Buenos Aires","Nacional","1999","","S.WAGON","08","CHEVROLET","55","CORSA WAGON GL A/A Y D/P","1","Privado","Física","MORON","BUENOS AIRES","No identificado","1978","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-13","2010-08-24",1087,"SAN ISIDRO Nº 01","Buenos Aires","Nacional","2010","","FURGON 800","34","PEUGEOT","KF","PARTNER PRESENCE PLC 1.6 HDI","1","Privado","Física","MARTINEZ","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-30","1993-06-24",1091,"MONTE","Buenos Aires","Importado","1993","","TRACTOR CARRET.P/SEM","","MERCEDES BENZ","","LS 1633","1","Privado","Física","MONTE","BUENOS AIRES","No identificado","1985","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-13","2007-12-03",1113,"SAN VICENTE","Buenos Aires","Nacional","2007","","FURGON VIDRI.C/ASIENTOS","34","PEUGEOT","GH","PARTNER FURGON 1.4 N PLC CONFORT","1","Privado","Física","GUERNICA","BUENOS AIRES","Femenino","1982","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-07","2010-08-20",1115,"MORON Nº 01","Buenos Aires","Nacional","2010","","FURGON 800","34","PEUGEOT","KE","PARTNER CONFORT 1.4","1","Privado","Física","MORON","BUENOS AIRES","No identificado","1945","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-31","1999-01-04",1117,"TRES DE FEBRERO Nº 2","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","67","CORSA 4 P GL 1.7 DIESEL C/","1","Privado","Física","CASEROS","BUENOS AIRES","Femenino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-22","2002-11-15",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","2002","","UNIDAD TRACTORA","51","SCANIA","86","P 94 GA 4X2 NZ 220","1","Privado","Física","VIRREY DEL PINO","BUENOS AIRES","Femenino","1952","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO","2019-05-30","1993-11-17",1120,"LA MATANZA Nº 03","Buenos Aires","Nacional","1993","","BERLINA 5 PTAS","37","RENAULT","90","RENAULT 19 RN (BIC)","1","Privado","Física","LA TABLADA","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
