"tramite_tipo","tramite_fecha","fecha_inscripcion_inicial","registro_seccional_codigo","registro_seccional_descripcion","registro_seccional_provincia","automotor_origen","automotor_anio_modelo","automotor_tipo_codigo","automotor_tipo_descripcion","automotor_marca_codigo","automotor_marca_descripcion","automotor_modelo_codigo","automotor_modelo_descripcion","automotor_uso_codigo","automotor_uso_descripcion","titular_tipo_persona","titular_domicilio_localidad","titular_domicilio_provincia","titular_genero","titular_anio_nacimiento","titular_pais_nacimiento","titular_porcentaje_titularidad","titular_domicilio_provincia_id","titular_pais_nacimiento_id"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-26","1997-08-22",1189,"FLORENCIO VARELA Nº 2","Buenos Aires","Importado","1997","","FURGON VID. C/ASIENTOS","058","HYUNDAI","009","H 100 SUPER","1","Privado","Física","FLORENCIO VARELA","BUENOS AIRES","Femenino","1949","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-20","1995-02-22",1064,"MORENO Nº 1","Buenos Aires","Protocolo 21","1995","","AUTOMOVIL","104","PEUGEOT","059","405 GRD","1","Privado","Física","MORENO","BUENOS AIRES","Masculino","1984","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-12","2005-11-02",1204,"MALVINAS ARGENTINAS Nº 2 (EX. SAN MIGUEL NRO. 5)","Buenos Aires","Nacional","2005","","FURGON VIDRIADO C/AS","34","PEUGEOT","DP","PARTNER FURGON 1.4 N CONFORT","1","Privado","Física","LOS POLVORINES","BUENOS AIRES","Masculino","1979","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-11","1993-02-16",1074,"PILAR Nº 1","Buenos Aires","Nacional","1993","","FURGON VID C/ASIENTO","37","RENAULT","37","RENAULT TRAFIC","1","Privado","Física","PILAR","BUENOS AIRES","Femenino","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-09","2002-05-13",1210,"ESTEBAN ECHEVERRIA Nº 3","Buenos Aires","Nacional","2002","","FUR VID C/ASIENTOS","37","RENAULT","EF","KANGOO RL EXPRESS DIE DA/2002","1","Privado","Física","MONTE GRANDE","BUENOS AIRES","Masculino","1963","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-13","2006-08-23",1225,"SAN MARTIN Nº 7","Buenos Aires","Nacional","2006","","FURGON 600","34","PEUGEOT","DS","PARTNER FURGON 1.9D PRESENCE","1","Privado","Física","BILLINGHURST","BUENOS AIRES","Masculino","1997","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-05","1993-08-06",1227,"LA MATANZA Nº 10","Buenos Aires","Nacional","1993","","RURAL 4 PTAS","37","RENAULT","64","R 21TXE BREAK NEVADA","1","Privado","Física","V.DEL PINO-LA MATANZA","BUENOS AIRES","No identificado","1973","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-06","1998-10-23",1234,"ADROGUE Nº 4","Buenos Aires","Nacional","1998","","SEDAN","08","CHEVROLET","51","CORSA GL 1.6 MPFI 4 PTAS","1","Privado","Física","CLAYPOLE","BUENOS AIRES","No identificado","1978","URUGUAY",100,"06","URY"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-12","1999-01-11",1252,"QUILMES Nº 5 (EX 9)","Buenos Aires","Protocolo 21","1999","","camion c/caja volcad","047","FORD","170","F-4000 D","1","Privado","Física","SAN FCO SOLANO /QUILMES","BUENOS AIRES","No identificado","1967","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-19","1994-01-14",1255,"LOMAS DE ZAMORA Nº 8","Buenos Aires","Importado","1994","","SEDAN","","FIAT","","UNO 70 S","1","Privado","Física","LLAVALLOL","BUENOS AIRES","Femenino","1992","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-04","2000-11-17",1257,"MORENO Nº 3","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","63","CORSA 4 PTAS. GLS 1.6 8V N","1","Privado","Física","TRUJUI","BUENOS AIRES","Masculino","1980","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-16","2000-10-12",1257,"MORENO Nº 3","Buenos Aires","Nacional","2000","","SEDAN","08","CHEVROLET","84","CORSA 3P.CITI. 1.0 N","1","Privado","Física","FRANCISCO ALVAREZ","BUENOS AIRES","Femenino","1989","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-18","2009-10-22",1261,"MARCOS PAZ","Buenos Aires","Nacional","2009","","RURAL 5 PTAS","53","VOLKSWAGEN","MD","SURAN SDI 90E","1","Privado","Física","MARCOS PAZ","BUENOS AIRES","No identificado","1947","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-23","2000-12-12",1264,"ADROGUE Nº 5","Buenos Aires","Nacional","2000","","BERLINA 5 PUERTAS","37","RENAULT","FG","MEGANE RXE BIC T.CORR. CUERO F2","1","Privado","Física","RAFAEL CALZADA","BUENOS AIRES","Masculino","1988","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-23","2007-02-23",1271,"JOSE C. PAZ Nº 2","Buenos Aires","Nacional","2007","","FURGON C/ASIENTOS.-","37","RENAULT","TD","KANGOO EXP CONFORT 1.9","1","Privado","Física","JOSE C.PAZ","BUENOS AIRES","No identificado","1972","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-23","1999-08-20",1271,"JOSE C. PAZ Nº 2","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PUERTAS WIND 1.6 LTS","1","Privado","Física","JOSE C PAZ","BUENOS AIRES","Femenino","1986","ARGENTINA",100,"06","ARG"
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-13","2009-09-03",1273,"MORENO Nº 4","Buenos Aires","Protocolo 21","2009","","MINIBUS","112","RENAULT","137","MASTER PH3 DCI 120 L1H1 PKCNF","1","Privado","Física","MORENO","BUENOS AIRES","No identificado","1986","No identificado",100,"06",""
"DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA","2019-12-18","1999-11-19",1280,"ESCOBAR Nº 3 (EX. INGENIERO MASCHWITZ)","Buenos Aires","Nacional","1999","","SEDAN","08","CHEVROLET","57","CORSA 4 PTAS WIND 1.6 LTS","1","Privado","Física","INGENIERO MASCHWITZ","BUENOS AIRES","Masculino","1989","ARGENTINA",100,"06","ARG"
